,id,title,journal,year,authors,kind,extra,auth
0,0,Almost exact risk budgeting with return forecasts for portfolio allocation,Operations Research Letters,2023,Avinash Bhardwaj and Manjesh Kumar Hanawal and Purushottam Parthasarathy,article,"@article {2843,
	title = {Almost exact risk budgeting with return forecasts for portfolio allocation},
	journal = {Operations Research Letters},
	volume = {51},
	year = {2023},
	pages = {171-175},
	doi = {https://doi.org/10.1016/j.orl.2023.02.002},
	author = {Avinash Bhardwaj and Manjesh Kumar Hanawal and Purushottam Parthasarathy}
}","['Avinash Bhardwaj', 'Manjesh Kumar Hanawal', 'Purushottam Parthasarathy']"
1,1,Approximate solutions to constrained risk-sensitive Markov decision processes,European Journal of Operational Research,2023,Uday M Kumar and Sanjay P Bhat and Veeraruna Kavitha and Nandyala Hemachandra,article,"@article {2846,
	title = {Approximate solutions to constrained risk-sensitive Markov decision processes},
	journal = {European Journal of Operational Research},
	volume = {310},
	year = {2023},
	pages = {249-267},
	doi = {https://doi.org/10.1016/j.ejor.2023.02.039},
	author = {Uday M Kumar and Sanjay P Bhat and Veeraruna Kavitha and Nandyala Hemachandra}
}","['Uday M Kumar', 'Sanjay P Bhat', 'Veeraruna Kavitha', 'Nandyala Hemachandra']"
2,2,"Dynamics of solar energy entrepreneurship in rural Bihar, India",Energy for Sustainable Development,2023,Rajat Mishra and Sayli Shiradkar and Kelsey Werner and Tresa Maria and Praveen Kumar and Jayendran Venkateswaran and Chetan S. Solanki,article,"@article {2869,
	title = {Dynamics of solar energy entrepreneurship in rural Bihar, India},
	journal = {Energy for Sustainable Development},
	volume = {76},
	year = {2023},
	month = {10/2023},
	pages = {101269},
	keywords = {Causal loop diagram, Community based system dynamics, Energy transition, Rural entrepreneurship, Solar lamps},
	issn = {0973-0826},
	doi = {https://doi.org/10.1016/j.esd.2023.101269},
	url = {https://www.sciencedirect.com/science/article/pii/S0973082623001266},
	author = {Rajat Mishra and Sayli Shiradkar and Kelsey Werner and Tresa Maria and Praveen Kumar and Jayendran Venkateswaran and Chetan S. Solanki}
}","['Rajat Mishra', 'Sayli Shiradkar', 'Kelsey Werner', 'Tresa Maria', 'Praveen Kumar', 'Jayendran Venkateswaran', 'Chetan S. Solanki']"
3,3,An OR Approach for WORdle,Informs Transactions on Education,2023,Simran Lakhani and Mustafa Vora and Ashutosh Mahajan,article,"@article {2831,
	title = {An OR Approach for WORdle},
	journal = {Informs Transactions on Education},
	year = {2023},
	month = {4/2023},
	doi = {https://doi.org/10.1287/ited.2023.0285},
	author = {Simran Lakhani and Mustafa Vora and Ashutosh Mahajan}
}","['Simran Lakhani', 'Mustafa Vora', 'Ashutosh Mahajan']"
4,4,Choice of Intraoperative Ultrasound adjuncts for Brain Tumor Surgery,BMC Med Inform Decis Mak,2022,Manoj Kumar and Santosh noronha and Narayan Rangaraj and Aliasgar Moiyadi and Prakash Shetty and Vikas kumar Singh,article,"@article {2643,
	title = {Choice of Intraoperative Ultrasound adjuncts for Brain Tumor Surgery},
	journal = {BMC Med Inform Decis Mak},
	volume = {22},
	year = {2022},
	month = {11/2022},
	type = {Research},
	doi = {https://doi.org/10.1186/s12911-022-02046-7},
	author = {Manoj Kumar and Santosh noronha and Narayan Rangaraj and Aliasgar Moiyadi and Prakash Shetty and Vikas kumar Singh}
}","['Manoj Kumar', 'Santosh noronha', 'Narayan Rangaraj', 'Aliasgar Moiyadi', 'Prakash Shetty', 'Vikas kumar Singh']"
5,5,Data-Driven treatment policies for Dialysis patients,International Conference on Operations Research - OR 2022,2022,"Manoj Kumar and Usulumarty, Deepa and Ravi, B and Billa, Viswanath and Narayan Rangaraj and Santosh noronha",article,"@article {2658,
	title = {Data-Driven treatment policies for Dialysis patients},
	journal = {International Conference on Operations Research - OR 2022},
	year = {2022},
	address = {Karlsruhe, Germany},
	author = {Manoj Kumar and Usulumarty, Deepa and Ravi, B and Billa, Viswanath and Narayan Rangaraj and Santosh noronha}
}","['Manoj Kumar', 'Usulumarty, Deepa', 'Ravi, B', 'Billa, Viswanath', 'Narayan Rangaraj', 'Santosh noronha']"
6,6,Evading Malware Analysis Using Reverse Execution,2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS),2022,"Mishra, Adhokshaj and Roy, Animesh and Manjesh Kumar Hanawal",article,"@article {2655,
	title = {Evading Malware Analysis Using Reverse Execution},
	journal = {2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS)},
	year = {2022},
	publisher = {IEEE},
	author = {Mishra, Adhokshaj and Roy, Animesh and Manjesh Kumar Hanawal}
}","['Mishra, Adhokshaj', 'Roy, Animesh', 'Manjesh Kumar Hanawal']"
7,7,Exact and heuristic approaches for the Railway crew scheduling,6th AIROYoung Workshop,2022,Akshat Bansal and Anoop K. P. and Narayan Rangaraj,article,"@article {2665,
	title = {Exact and heuristic approaches for the Railway crew scheduling},
	journal = {6th AIROYoung Workshop},
	year = {2022},
	address = {Rome, Italy},
	author = {Akshat Bansal and Anoop K. P. and Narayan Rangaraj}
}","['Akshat Bansal', 'Anoop K. P.', 'Narayan Rangaraj']"
8,8,Exploiting Side Information for Improved Online Learning Algorithms in Wireless Networks,arXiv-preprint,2022,Manjesh Kumar Hanawal and Sumit J. Darak,article,"@article {2653,
	title = {Exploiting Side Information for Improved Online Learning Algorithms in Wireless Networks},
	journal = {arXiv-preprint},
	year = {2022},
	author = {Manjesh Kumar Hanawal and Sumit J. Darak}
}","['Manjesh Kumar Hanawal', 'Sumit J. Darak']"
9,9,Multi-Agent Natural Actor-Critic Reinforcement Learning Algorithms,Dynamic Games and Applications,2022,Prashant Trivedi and Nandyala Hemachandra,article,"@article {2683,
	title = {Multi-Agent Natural Actor-Critic Reinforcement Learning Algorithms},
	journal = {Dynamic Games and Applications},
	year = {2022},
	month = {06/2022},
	doi = {https://doi.org/10.1007/s13235-022-00449-9},
	url = {https://link.springer.com/article/10.1007/s13235-022-00449-9},
	author = {Prashant Trivedi and Nandyala Hemachandra}
}","['Prashant Trivedi', 'Nandyala Hemachandra']"
10,10,Multi-modal supply chain distribution problem,OPSEARCH,2022,Hussain A. Kharodawala and Ashutosh Mahajan and Jayan Moorkanat,article,"@article {2868,
	title = {Multi-modal supply chain distribution problem},
	journal = {OPSEARCH},
	volume = {59},
	year = {2022},
	pages = {747-768},
	author = {Hussain A. Kharodawala and Ashutosh Mahajan and Jayan Moorkanat}
}","['Hussain A. Kharodawala', 'Ashutosh Mahajan', 'Jayan Moorkanat']"
11,11,Multi-player age-of-information bandits: A trekking approach,2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS),2022,"Gudwani, Hitesh and Manjesh Kumar Hanawal and Sharayu Moharir",article,"@article {2651,
	title = {Multi-player age-of-information bandits: A trekking approach},
	journal = {2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS)},
	year = {2022},
	publisher = {IEEE},
	author = {Gudwani, Hitesh and Manjesh Kumar Hanawal and Sharayu Moharir}
}","['Gudwani, Hitesh', 'Manjesh Kumar Hanawal', 'Sharayu Moharir']"
12,12,Optimizing large scale upgradations involving movable assets,OPSEARCH,2022,Swapnesh Subramanian and Narayan Rangaraj,article,"@article {2604,
	title = {Optimizing large scale upgradations involving movable assets},
	journal = {OPSEARCH},
	year = {2022},
	pages = {1-15},
	author = {Swapnesh Subramanian and Narayan Rangaraj}
}","['Swapnesh Subramanian', 'Narayan Rangaraj']"
13,13,Railway crew scheduling: A case study of Indian Railways,32nd European Conference on Operational Research (EURO 2022),2022,Akshat Bansal and Anoop K. P. and Narayan Rangaraj,article,"@article {2666,
	title = {Railway crew scheduling: A case study of Indian Railways},
	journal = {32nd European Conference on Operational Research (EURO 2022)},
	year = {2022},
	address = {Espoo, Finland},
	author = {Akshat Bansal and Anoop K. P. and Narayan Rangaraj}
}","['Akshat Bansal', 'Anoop K. P.', 'Narayan Rangaraj']"
14,14,A unified citywide dashboard for allocation and scheduling dialysis for COVID-19 patients on maintenance hemodialysis,Indian Journal of Nephrology,2022,"Billa, Viswanath and Santosh noronha and Shrirang Bichu and Kothari, Jatin and rajesh Kumar and Kalpana Mehta and Tukaram Jamale and Nikhil Bhasin and Sayali Thakare and Smriti Sinha and Geeta Sheth and Narayan Rangaraj",article,"@article {2667,
	title = {A unified citywide dashboard for allocation and scheduling dialysis for COVID-19 patients on maintenance hemodialysis},
	journal = {Indian Journal of Nephrology},
	year = {2022},
	url = { https://www.indianjnephrol.org/preprintarticle.asp?id=334844},
	author = {Billa, Viswanath and Santosh noronha and Shrirang Bichu and Kothari, Jatin and rajesh Kumar and Kalpana Mehta and Tukaram Jamale and Nikhil Bhasin and Sayali Thakare and Smriti Sinha and Geeta Sheth and Narayan Rangaraj}
}","['Billa, Viswanath', 'Santosh noronha', 'Shrirang Bichu', 'Kothari, Jatin', 'rajesh Kumar', 'Kalpana Mehta', 'Tukaram Jamale', 'Nikhil Bhasin', 'Sayali Thakare', 'Smriti Sinha', 'Geeta Sheth', 'Narayan Rangaraj']"
15,15,Analysis Of Multi-registry Kidney Exchange Programs With Individual Rationality Constraints,INFORMS Healthcare Conference 2021,2021,"Verma, Utkarsh and Narayan Rangaraj",article,"@article {2474,
	title = {Analysis Of Multi-registry Kidney Exchange Programs With Individual Rationality Constraints},
	journal = {INFORMS Healthcare Conference 2021},
	year = {2021},
	address = {Indianapolis, US. (Virtual)},
	author = {Verma, Utkarsh and Narayan Rangaraj}
}","['Verma, Utkarsh', 'Narayan Rangaraj']"
16,16,Censored Semi-Bandits for Resource Allocation,arXiv-preprint,2021,"Verma, Arun and Manjesh Kumar Hanawal and Arun Rajkumar and Raman Sankaran",article,"@article {2645,
	title = {Censored Semi-Bandits for Resource Allocation},
	journal = {arXiv-preprint},
	year = {2021},
	author = {Verma, Arun and Manjesh Kumar Hanawal and Arun Rajkumar and Raman Sankaran}
}","['Verma, Arun', 'Manjesh Kumar Hanawal', 'Arun Rajkumar', 'Raman Sankaran']"
17,17,Coalition formation resource sharing games in networks,Performance Evaluation,2021,Shiksha Singhal and Veeraruna Kavitha,article,"@article {2624,
	title = {Coalition formation resource sharing games in networks},
	journal = {Performance Evaluation},
	volume = {152},
	year = {2021},
	month = {12/2021},
	author = {Shiksha Singhal and Veeraruna Kavitha}
}","['Shiksha Singhal', 'Veeraruna Kavitha']"
18,18,Continuous Time Bandits With Sampling Costs,arXiv-preprint,2021,"Vaze, Rahul and Manjesh Kumar Hanawal",article,"@article {2641,
	title = {Continuous Time Bandits With Sampling Costs},
	journal = {arXiv-preprint},
	year = {2021},
	author = {Vaze, Rahul and Manjesh Kumar Hanawal}
}","['Vaze, Rahul', 'Manjesh Kumar Hanawal']"
19,19,Co-Virality of Competing Content over OSNs?,IFIP Networking 2021,2021,"Agarwal, Khushboo and Veeraruna Kavitha",article,"@article {2445,
	title = {Co-Virality of Competing Content over OSNs?},
	journal = {IFIP Networking 2021},
	year = {2021},
	author = {Agarwal, Khushboo and Veeraruna Kavitha}
}","['Agarwal, Khushboo', 'Veeraruna Kavitha']"
20,20,Discrete Richman-bidding scoring games,International Journal of Game Theory,2021,"Ravi Kant Rai and Larsson, Urban and Patel, Neel",article,"@article {2388,
	title = {Discrete Richman-bidding scoring games},
	journal = {International Journal of Game Theory},
	year = {2021},
	month = {2021/01/12},
	isbn = {1432-1270},
	url = {https://doi.org/10.1007/s00182-020-00753-x},
	author = {Ravi Kant Rai and Larsson, Urban and Patel, Neel}
}","['Ravi Kant Rai', 'Larsson, Urban', 'Patel, Neel']"
21,21,Extremality of Prime Factorization,Resonance,2021,K. S. Mallikarjuna Rao,article,"@article {2622,
	title = {Extremality of Prime Factorization},
	journal = {Resonance},
	volume = {26},
	year = {2021},
	month = {12/2021},
	pages = {1643-1648},
	author = {K. S. Mallikarjuna Rao}
}",['K. S. Mallikarjuna Rao']
22,22,FairNet: A Measurement Framework for Traffic Discrimination Detection on the Internet,arXiv-preprint,2021,Vinod S. Khandkar and Manjesh Kumar Hanawal,article,"@article {2636,
	title = {FairNet: A Measurement Framework for Traffic Discrimination Detection on the Internet},
	journal = {arXiv-preprint},
	year = {2021},
	author = {Vinod S. Khandkar and Manjesh Kumar Hanawal}
}","['Vinod S. Khandkar', 'Manjesh Kumar Hanawal']"
23,23,Federated learning for intrusion detection in IoT security: a hybrid ensemble approach,arXiv-preprint,2021,"Chatterjee, Sayan and Manjesh Kumar Hanawal",article,"@article {2642,
	title = {Federated learning for intrusion detection in IoT security: a hybrid ensemble approach},
	journal = {arXiv-preprint},
	year = {2021},
	author = {Chatterjee, Sayan and Manjesh Kumar Hanawal}
}","['Chatterjee, Sayan', 'Manjesh Kumar Hanawal']"
24,24,A journey towards Energy Swaraj (independence): Energy by locals for locals,iScience,2021,Chetan S. Solanki and Nikita Arora and Swati Kalwar and Jayendran Venkateswaran,article,"@article {2619,
	title = {A journey towards Energy Swaraj (independence): Energy by locals for locals},
	journal = {iScience},
	volume = {24},
	year = {2021},
	month = {10/2021},
	doi = {https://doi.org/10.1016/j.isci.2021.103187},
	author = {Chetan S. Solanki and Nikita Arora and Swati Kalwar and Jayendran Venkateswaran}
}","['Chetan S. Solanki', 'Nikita Arora', 'Swati Kalwar', 'Jayendran Venkateswaran']"
25,25,Learning to optimize energy efficiency in energy harvesting wireless sensor networks,IEEE Wireless Communications Letters,2021,"Debamita Ghosh and Manjesh Kumar Hanawal and Zlatanov, Nikola",article,"@article {2646,
	title = {Learning to optimize energy efficiency in energy harvesting wireless sensor networks},
	journal = {IEEE Wireless Communications Letters},
	volume = {10},
	year = {2021},
	pages = {1153{\textendash}1157},
	author = {Debamita Ghosh and Manjesh Kumar Hanawal and Zlatanov, Nikola}
}","['Debamita Ghosh', 'Manjesh Kumar Hanawal', 'Zlatanov, Nikola']"
26,26,Long term simulation analysis of deceased donor initiated chains in kidney exchange programs,European Network for Collaboration on Kidney Exchange Programmes (ENCKEP) Final Action Conference,2021,"Verma, Utkarsh and Narayan Rangaraj",article,"@article {2475,
	title = {Long term simulation analysis of deceased donor initiated chains in kidney exchange programs},
	journal = {European Network for Collaboration on Kidney Exchange Programmes (ENCKEP) Final Action Conference},
	year = {2021},
	address = {Virtual},
	author = {Verma, Utkarsh and Narayan Rangaraj}
}","['Verma, Utkarsh', 'Narayan Rangaraj']"
27,27,Memory-Efficient Approximation Algorithms for Max-k-Cut and Correlation Clustering,Advances in Neural Information Processing Systems,2021,"Shinde, Nimita and Vishnu Narayanan and Saunderson, James",article,"@article {2660,
	title = {Memory-Efficient Approximation Algorithms for Max-k-Cut and Correlation Clustering},
	journal = {Advances in Neural Information Processing Systems},
	volume = {34},
	year = {2021},
	author = {Shinde, Nimita and Vishnu Narayanan and Saunderson, James}
}","['Shinde, Nimita', 'Vishnu Narayanan', 'Saunderson, James']"
28,28,Memory-efficient structured convex optimization via extreme point sampling,SIAM Journal on Mathematics of Data Science,2021,"Shinde, Nimita and Vishnu Narayanan and Saunderson, James",article,"@article {2663,
	title = {Memory-efficient structured convex optimization via extreme point sampling},
	journal = {SIAM Journal on Mathematics of Data Science},
	volume = {3},
	year = {2021},
	pages = {787{\textendash}814},
	author = {Shinde, Nimita and Vishnu Narayanan and Saunderson, James}
}","['Shinde, Nimita', 'Vishnu Narayanan', 'Saunderson, James']"
29,29,Minotaur: a mixed-integer nonlinear optimization toolkit,,2021,Ashutosh Mahajan and Sven Leyffer and Jeff Linderoth and James Luedtke and Todd Munson,article,"@article {2634,
	title = {Minotaur: a mixed-integer nonlinear optimization toolkit},
	volume = {13},
	year = {2021},
	month = {2021/06/01},
	pages = {301 - 338},
	isbn = {1867-2957},
	url = {https://doi.org/10.1007/s12532-020-00196-1},
	author = {Ashutosh Mahajan and Sven Leyffer and Jeff Linderoth and James Luedtke and Todd Munson}
}","['Ashutosh Mahajan', 'Sven Leyffer', 'Jeff Linderoth', 'James Luedtke', 'Todd Munson']"
30,30,Monitoring COVID Hotspots Using Telecom Data: Voronoi Tessellations for Marking Buffer Zones,,2021,"Singh, Anupam and Manjesh Kumar Hanawal",article,"@article {2648,
	title = {Monitoring COVID Hotspots Using Telecom Data: Voronoi Tessellations for Marking Buffer Zones},
	year = {2021},
	author = {Singh, Anupam and Manjesh Kumar Hanawal}
}","['Singh, Anupam', 'Manjesh Kumar Hanawal']"
32,32,Multi-Play Multi-Armed Bandit Algorithm Based Sensing of Non-Contiguous Wideband Spectrum for AIoT Networks,IEEE Transactions on Industrial Informatics,2021,"Joshi, Himani and Santra, Shubhrajit and Sumit J. Darak and Manjesh Kumar Hanawal and Santosh, SV Sai",article,"@article {2639,
	title = {Multi-Play Multi-Armed Bandit Algorithm Based Sensing of Non-Contiguous Wideband Spectrum for AIoT Networks},
	journal = {IEEE Transactions on Industrial Informatics},
	year = {2021},
	author = {Joshi, Himani and Santra, Shubhrajit and Sumit J. Darak and Manjesh Kumar Hanawal and Santosh, SV Sai}
}","['Joshi, Himani', 'Santra, Shubhrajit', 'Sumit J. Darak', 'Manjesh Kumar Hanawal', 'Santosh, SV Sai']"
33,33,Multi-player bandits: A trekking approach,IEEE Transactions on Automatic Control,2021,Manjesh Kumar Hanawal and Sumit J. Darak,article,"@article {2644,
	title = {Multi-player bandits: A trekking approach},
	journal = {IEEE Transactions on Automatic Control},
	year = {2021},
	author = {Manjesh Kumar Hanawal and Sumit J. Darak}
}","['Manjesh Kumar Hanawal', 'Sumit J. Darak']"
34,34,New results in Branching processes using Stochastic Approximation,arXiv-preprint,2021,"Agarwal, Khushboo and Veeraruna Kavitha",article,"@article {2628,
	title = {New results in Branching processes using Stochastic Approximation},
	journal = {arXiv-preprint},
	year = {2021},
	author = {Agarwal, Khushboo and Veeraruna Kavitha}
}","['Agarwal, Khushboo', 'Veeraruna Kavitha']"
35,35,Port selection for optimal charging/discharging and external communication in single-integrator graphs networks,IFAC-PapersOnLine,2021,P Sudarshan and Sandeep Kumar and Madhu Belur and Narayan Rangaraj,article,"@article {2657,
	title = {Port selection for optimal charging/discharging and external communication in single-integrator graphs networks},
	journal = {IFAC-PapersOnLine},
	volume = {54},
	year = {2021},
	month = {07/2021},
	pages = {596-601},
	author = {P Sudarshan and Sandeep Kumar and Madhu Belur and Narayan Rangaraj}
}","['P Sudarshan', 'Sandeep Kumar', 'Madhu Belur', 'Narayan Rangaraj']"
36,36,"Random fixed points, systemic risk and resilience of heterogeneous financial network",arXiv-preprint,2021,Indrajit Saha and Veeraruna Kavitha,article,"@article {2629,
	title = {Random fixed points, systemic risk and resilience of heterogeneous financial network},
	journal = {arXiv-preprint},
	year = {2021},
	author = {Indrajit Saha and Veeraruna Kavitha}
}","['Indrajit Saha', 'Veeraruna Kavitha']"
37,37,Regret of age-of-information bandits,IEEE Transactions on Communications,2021,"Fatale, Santosh and Bhandari, Kavya and Narula, Urvidh and Sharayu Moharir and Manjesh Kumar Hanawal",article,"@article {2637,
	title = {Regret of age-of-information bandits},
	journal = {IEEE Transactions on Communications},
	year = {2021},
	author = {Fatale, Santosh and Bhandari, Kavya and Narula, Urvidh and Sharayu Moharir and Manjesh Kumar Hanawal}
}","['Fatale, Santosh', 'Bhandari, Kavya', 'Narula, Urvidh', 'Sharayu Moharir', 'Manjesh Kumar Hanawal']"
38,38,Revenue sharing on the Internet: A case for going soft on neutrality regulations,Performance Evaluation,2021,"Fehmina Malik and Manjesh Kumar Hanawal and Hayel, Yezekael and Jayakrishnan Nair",article,"@article {2650,
	title = {Revenue sharing on the Internet: A case for going soft on neutrality regulations},
	journal = {Performance Evaluation},
	volume = {145},
	year = {2021},
	pages = {102152},
	author = {Fehmina Malik and Manjesh Kumar Hanawal and Hayel, Yezekael and Jayakrishnan Nair}
}","['Fehmina Malik', 'Manjesh Kumar Hanawal', 'Hayel, Yezekael', 'Jayakrishnan Nair']"
39,39,"A revised formulation, library and heuristic for a chemical tanker scheduling problem",Computers and Operations Research,2021,"Ladage, Anurag and Baatar, Davaatseren and Krishnamoorthy, Mohan and Ashutosh Mahajan",article,"@article {2633,
	title = {A revised formulation, library and heuristic for a chemical tanker scheduling problem},
	journal = {Computers and Operations Research},
	volume = {133},
	year = {2021},
	month = {2021/09/01/},
	keywords = {Integer programming, Maritime transportation, Scheduling with time-windows, Ship routing, Tank allocations, Tramp shipping},
	isbn = {0305-0548},
	url = {https://www.sciencedirect.com/science/article/pii/S0305054821001258},
	author = {Ladage, Anurag and Baatar, Davaatseren and Krishnamoorthy, Mohan and Ashutosh Mahajan}
}","['Ladage, Anurag', 'Baatar, Davaatseren', 'Krishnamoorthy, Mohan', 'Ashutosh Mahajan']"
40,40,Submodular function minimization and polarity,Mathematical Programming,2021,"Alper Atamt{\""u}rk and Vishnu Narayanan",article,"@article {2661,
	title = {Submodular function minimization and polarity},
	journal = {Mathematical Programming},
	year = {2021},
	pages = {1{\textendash}11},
	author = {Alper Atamt{\""u}rk and Vishnu Narayanan}
}","['Alper Atamt{\\""u}rk', 'Vishnu Narayanan']"
41,41,Who is willing to pay for solar lamps in rural India? A longitudinal study,Renewable and Sustainable Energy Reviews,2021,Rohit Sharma and Deepak Choudhary and Sayli Shiradkar and Praveen Kumar and Jayendran Venkateswaran and Chetan S. Solanki and Gautam N. Yadama,article,"@article {2620,
	title = {Who is willing to pay for solar lamps in rural India? A longitudinal study},
	journal = {Renewable and Sustainable Energy Reviews},
	volume = {140},
	year = {2021},
	month = {04/2021},
	doi = {https://doi.org/10.1016/j.rser.2021.110734.},
	author = {Rohit Sharma and Deepak Choudhary and Sayli Shiradkar and Praveen Kumar and Jayendran Venkateswaran and Chetan S. Solanki and Gautam N. Yadama}
}","['Rohit Sharma', 'Deepak Choudhary', 'Sayli Shiradkar', 'Praveen Kumar', 'Jayendran Venkateswaran', 'Chetan S. Solanki', 'Gautam N. Yadama']"
43,43,Community-based Understanding of Solar Entrepreneurship Development Dynamics in Rural India,38th International Conference of the System Dynamics Society,2020,Rajat Mishra and Sayli Shiradkar and Jayendran Venkateswaran and Kelsey Werner,article,"@article {2377,
	title = {Community-based Understanding of Solar Entrepreneurship Development Dynamics in Rural India},
	journal = {38th International Conference of the System Dynamics Society},
	year = {2020},
	month = {07/2020},
	type = {Full Paper but no proceeding},
	address = {Virtual},
	author = {Rajat Mishra and Sayli Shiradkar and Jayendran Venkateswaran and Kelsey Werner}
}","['Rajat Mishra', 'Sayli Shiradkar', 'Jayendran Venkateswaran', 'Kelsey Werner']"
44,44,Controlling Fake News by Collective Tagging: A Branching Process Analysis,IEEE Control Systems Letters,2020,"S. Kapsikar and Indrajit Saha and Agarwal, Khushboo and Veeraruna Kavitha and Q. Zhu",article,"@article {2338,
	title = {Controlling Fake News by Collective Tagging: A Branching Process Analysis},
	journal = {IEEE Control Systems Letters},
	year = {2020},
	doi = {10.1109/LCSYS.2020.3045299},
	author = {S. Kapsikar and Indrajit Saha and Agarwal, Khushboo and Veeraruna Kavitha and Q. Zhu}
}","['S. Kapsikar', 'Indrajit Saha', 'Agarwal, Khushboo', 'Veeraruna Kavitha', 'Q. Zhu']"
45,45,Cooperative Ressource Sharing With Adamant Player,,2020,Shiksha Singhal and Veeraruna Kavitha,article,"@article {2345,
	title = {Cooperative Ressource Sharing With Adamant Player},
	year = {2020},
	type = {Working paper},
	author = {Shiksha Singhal and Veeraruna Kavitha}
}","['Shiksha Singhal', 'Veeraruna Kavitha']"
46,46,Designing robust policies under deep uncertainty for mitigating epidemics,Computers \& Industrial Engineering,2020,Siddhartha Paul and Jayendran Venkateswaran,article,"@article {2146,
	title = {Designing robust policies under deep uncertainty for mitigating epidemics},
	journal = {Computers \& Industrial Engineering},
	volume = {140},
	year = {2020},
	month = {02/2020},
	keywords = {Deep uncertainty, Epidemic model, Exploratory modelling and analysis, Integrated models, Scenario discovery analysis, Supply Chain Management},
	doi = {https://doi.org/10.1016/j.cie.2019.106221},
	author = {Siddhartha Paul and Jayendran Venkateswaran}
}","['Siddhartha Paul', 'Jayendran Venkateswaran']"
47,47,Equilibrium points and equilibrium sets of some GI/M/1 queues,"Queueing Systems: Theory and Applications, QUESTA",2020,Nandyala Hemachandra and Kishor Patil and Sandhya Tripathi,article,"@article {2370,
	title = {Equilibrium points and equilibrium sets of some GI/M/1 queues},
	journal = {Queueing Systems: Theory and Applications, QUESTA},
	year = {2020},
	doi = { http://dx.doi.org/10.1007/s11134-020-09677-5},
	author = {Nandyala Hemachandra and Kishor Patil and Sandhya Tripathi}
}","['Nandyala Hemachandra', 'Kishor Patil', 'Sandhya Tripathi']"
48,48,On the facet defining inequalities of the mixed-integer bilinear covering set,Mathematical Methods of Operations Research,2020,H. Rahman and Ashutosh Mahajan,article,"@article {2302,
	title = {On the facet defining inequalities of the mixed-integer bilinear covering set},
	journal = {Mathematical Methods of Operations Research},
	volume = {Online First},
	year = {2020},
	doi = {10.1007/s00186-020-00723-9},
	author = {H. Rahman and Ashutosh Mahajan}
}","['H. Rahman', 'Ashutosh Mahajan']"
